date,adjVolume_SandP,adjClose_SandP,adjClose_aapl,adjVolume_aapl,adjClose_fb,adjVolume_fb,adjClose_goog,adjVolume_goog,adjClose_msft,adjVolume_msft
2020-06-26,8098120000.0,3009.050048828125,88.244690581,205256844.0,216.08,76343939,1359.9,4267698,195.85367489650002,54675780
2020-06-29,4462770000.0,3053.239990234375,90.2784383632,130646076.0,220.64,58514281,1394.97,1810200,197.95855573,26701586
2020-06-30,4696280000.0,3100.2900390625,91.0320479709,140223284.0,227.07,33927068,1413.61,2042400,203.0162551734,34310283
2020-07-01,4443130000.0,3115.860107421875,90.8598656433,110761816.0,237.55,43403869,1438.04,1775600,204.2033680605,32071431
2020-07-02,4190830000.0,3130.010009765625,90.8598656433,115258064.0,233.42,30635970,1464.7,1859800,205.7595832739,29322547
2020-07-06,4736450000.0,3179.719970703125,93.2903813978,118983744.0,240.28,26208488,1495.7,1564000,210.1888111888,32033747
2020-07-07,4563700000.0,3145.320068359375,93.0009154558,112827996.0,240.86,27887936,1485.18,1458200,207.7447552448,33600749
2020-07-08,4927700000.0,3169.93994140625,95.1669192288,117097916.0,243.58,29793184,1496.0,1249700,212.31364349939997,33602226
2020-07-09,4829020000.0,3152.050048828125,95.57616418129999,125681428.0,244.5,22175054,1510.99,1423300,213.8000285429,33122280
2020-07-10,4515340000.0,3185.0400390625,95.7433557168,90257320.0,245.07,22982716,1541.74,1857200,213.1516055373,26178663
2020-07-13,4890780000.0,3155.219970703125,95.30167061559999,191652316.0,239.0,24674883,1511.34,1846400,206.5676180962,38135816
2020-07-14,4476170000.0,3197.52001953125,96.87876092030001,170992476.0,239.73,23378056,1520.58,1585000,207.8445126302,37598121
2020-07-15,4669760000.0,3226.56005859375,97.5450316662,153227496.0,240.28,19134627,1513.64,1761000,207.5352647353,32248893
2020-07-16,3961230000.0,3215.570068359375,96.34474616520001,110583708.0,240.93,18880800,1518.0,1519300,203.4252604538,29940718
2020-07-17,3993830000.0,3224.72998046875,96.1501052732,92187020.0,242.03,18152413,1515.55,1457000,202.38778364490003,31636070
2020-07-20,3971200000.0,3251.840087890625,98.17636686729999,89588832.0,245.42,20797388,1565.72,1547136,211.0866276581,36386080
2020-07-21,4547960000.0,3257.300048828125,96.8213668111,102509388.0,241.75,18646840,1558.42,1183101,208.24354217209998,37702523
2020-07-22,4255190000.0,3276.02001953125,97.0933649808,89001652.0,239.87,15427885,1568.49,931985,211.2362637363,49605692
2020-07-23,4290460000.0,3235.659912109375,92.674018573,197004432.0,232.6,21771802,1515.68,1627634,202.0486085343,67457035
2020-07-24,3894900000.0,3215.6298828125,92.44444213620001,185438864.0,230.71,18325813,1511.87,1544404,200.8116169545,39826989
2020-07-27,3963910000.0,3239.409912109375,94.6353998697,121214192.0,233.5,13163083,1530.2,1245980,203.35543028400002,30160867
2020-07-28,4027890000.0,3218.43994140625,93.0807681294,103625500.0,230.12,14170112,1500.34,1702174,201.52987012990002,23251388
2020-07-29,4676300000.0,3258.43994140625,94.8649763065,90329256.0,233.29,13588317,1522.02,1106534,203.5649207935,19632602
2020-07-30,4254010000.0,3246.219970703125,96.0128584904,158130020.0,234.5,20615306,1531.45,1671396,203.40530897669998,25079596
2020-07-31,5117260000.0,3271.1201171875,106.06431378709999,374295468.0,253.67,53030037,1482.96,3429036,204.5126159555,51247969
2020-08-03,4643640000.0,3294.610107421875,108.73688295870001,308151388.0,251.96,23134103,1474.45,2331514,216.01464250040002,78983009
2020-08-04,4621670000.0,3306.510009765625,109.46304320969999,172792368.0,249.83,17183533,1464.97,1903489,212.7725274725,49280056
2020-08-05,4732220000.0,3327.77001953125,109.859811182,121991952.0,249.12,13088361,1473.61,1979957,212.4233766234,28858621
2020-08-06,4267490000.0,3349.159912109375,113.6927395176,202428900.0,265.28,45241611,1500.1,1995368,215.82510346799998,32656843
2020-08-07,4104860000.0,3351.280029296875,111.1125,198045612.0,268.44,72766364,1494.49,1577826,211.96449265020001,27820421
2020-08-10,4318570000.0,3360.469970703125,112.7275,212403424.0,263.0,30248826,1496.1,1289530,207.7447552448,36716462
2020-08-11,5087650000.0,3333.68994140625,109.375,187902376.0,256.13,28238283,1480.32,1454365,202.8865705723,36446459
2020-08-12,3768560000.0,3380.35009765625,113.01,165944820.0,259.89,21428329,1506.62,1437655,208.6824746682,28041364
2020-08-13,3648810000.0,3373.429931640625,115.01,210082064.0,261.3,17373970,1518.45,1455208,208.1936634794,22588870
2020-08-14,3193400000.0,3372.85009765625,114.9075,165565208.0,261.24,14792708,1507.73,1355200,208.3931782503,17958936
2020-08-17,3671290000.0,3381.989990234375,114.6075,117725656.0,261.16,13303174,1517.98,1364082,209.7698301698,20063496
2020-08-18,3881310000.0,3389.780029296875,115.5625,105633540.0,262.34,18690383,1558.6,2027086,210.97689453400002,21336167
